"역번호",역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0116,왕십리역,k0205,경의중앙선,Wangsimni,往十里,환승역,k0205+k0304,경의중앙/분당/2/5,37.5611280000,127.0355050000,한국철도공사,서울시 성동구 왕십리 광장로 17(행당동),02-2291-7787,2017-05-12
0117,청량리역,k0205,경의중앙선,Cheongnyangni,淸凉里,환승역,k0205+k0210,경원/경춘/1,37.5805430000,127.0465160000,한국철도공사,서울시 동대문구 왕산로 214,02-3299-7151,2017-05-12
0123,회기역,k0205,경원선,Hoegi,回 基,환승역,k0205+k0210,경의중앙/경춘/1,37.5898020000,127.0579360000,한국철도공사,서울시 동대문구 회기로196(휘경동 317-101),02-965-1467,2017-05-12
0122,외대앞역,k0205,경원선,Hankuk Univ. of Foreign Studies,外大앞,일반역,,,37.5961570000,127.0635720000,한국철도공사,서울시 동대문구 휘경로 27(이문동 360-5),02-966-6705,2017-05-12
0121,신이문역,k0205,경원선,Sinimun,新里門,일반역,,,37.6018290000,127.0673470000,한국철도공사,서울시 동대문구 한천로 472(이문로 7),02-960-1871,2017-05-12
0120,석계역,k0205,경원선,Seokgye,石 溪,환승역,,경원/6,37.6152060000,127.0655940000,한국철도공사,서울시 노원구 화랑로 314(월계동 36-4),02-943-7788,2017-05-12
0119,광운대역,k0205,경원선,Kwangwoon Univ.,城 北,환승역,,경춘/1,37.6236350000,127.0619750000,한국철도공사,서울시 노원구 석계로 98-2(광운대역),02-917-7445,2017-05-12
0118,월계역,k0205,경원선,Wolgye,月 溪,일반역,,,37.6331140000,127.0588350000,한국철도공사,서울시 노원구 월계로 53길 40(월계2동 261),02-900-4855,2017-05-12
0117,녹천역,k0205,경원선,Nokcheon,鹿 川,일반역,,,37.6445990000,127.0514060000,한국철도공사,서울시 도봉구 덕릉로 376(창동),02-993-7788,2017-05-12
0116,창동역,k0205,경원선,Chang-dong,倉 洞,환승역,,경원/4,37.6531810000,127.0476630000,한국철도공사,서울시 도봉구 마들로 11길 77(창1동 135-86),02-992-3388,2017-05-12
0115,방학역,k0205,경원선,Banghak,放 鶴,일반역,,,37.6674710000,127.0442950000,한국철도공사,서울시 도봉구 도봉로 150다길 3,02-3492-0197,2017-05-12
0114,도봉역,k0205,경원선,Dobong,道 峰,일반역,,,37.6794410000,127.0455210000,한국철도공사,서울시 도봉구 도봉로 170길 2,02-954-1348,2017-05-12
0113,도봉산역,k0205,경원선,Dobongsan,道峰山,환승역,,경원/7,37.6896030000,127.0463470000,한국철도공사,서울시 도봉구 도봉로 964-33,02-955-7345,2017-05-12
0112,망월사역,k0205,경원선,Mangwolsa,望月寺,일반역,,,37.7104990000,127.0473610000,한국철도공사,경기도 의정부시 회룡로 111(호원동),031-873-7788,2017-05-12
0111,회룡역,k0205,경원선,Hoeryong,回 龍,환승역,,경원/경전철,37.7240370000,127.0473190000,한국철도공사,경기도 의정부시 평화로 363,032-872-7744,2017-05-12
0110,의정부역,k0205,경원선,Uijeongbu,議政府,일반역,,,37.7387300000,127.0458910000,한국철도공사,경기도 의정부시 평화로 525,031-872-7788,2017-05-12
0109,가능역,k0205,경원선,Ganeung,佳 陵,일반역,,,37.7483620000,127.0442510000,한국철도공사,경기도 의정부시 평화로 633,031-842-7788,2017-05-12
0108,녹양역,k0205,경원선,Nogyang,綠 楊,일반역,,,37.7594160000,127.0422720000,한국철도공사,경기도 의정부시 평화로 757(녹양동 973),031-878-5769,2017-05-12
0107,양주역,k0205,경원선,Yangju,楊 州,일반역,,,37.7742810000,127.0447190000,한국철도공사,경기도 양주시 평화로 919(남방동 94-1),031-841-7787,2017-05-12
0106,덕계역,k0205,경원선,Deokgye,德 溪,일반역,,,37.8187610000,127.0566760000,한국철도공사,경기도 양주시 고덕로 139번길 317번지,031-866-6742,2017-05-12
0105,덕정역,k0205,경원선,Deokjeong,德 亭,일반역,,,37.8432160000,127.0615110000,한국철도공사,경기도 양주시 화합로 1356,031-858-2788,2017-05-12
0104,지행역,k0205,경원선,Jihaeng,紙 杏,일반역,,,37.8923610000,127.0557340000,한국철도공사,경기도 동두천시 평화로 2285(지행동),031-862-2788,2017-05-12
0103,동두천중앙역,k0205,경원선,Dongducheon jungang,東豆川中央,일반역,,,37.9018180000,127.0565280000,한국철도공사,경기도 동두천시 동두천로 228(생연동 682),031-865-2788,2017-05-12
0102,보산역,k0205,경원선,Bosan,保 山,일반역,,,37.9142680000,127.0571340000,한국철도공사,경기도 동두천시 평화로 2539(보산동),031-866-4987,2017-05-12
0101,동두천역,k0205,경원선,Dongducheon,東豆川,일반역,,,37.9275690000,127.0548250000,한국철도공사,경기도 동두천시 평화로 2687(동두천동 245-210),031-862-7788,2017-05-12
0100,소요산역,k0205,경원선,Soyosan,逍遙山,일반역,,,37.9486080000,127.0610070000,한국철도공사,경기도 동두천시 평화로 2925(상봉암동 126),031-865-7788,2017-05-12
0119,중랑역,k0212,경의중앙선,Jungnang,中 浪,환승역,k0212+k0210,경의중앙/경춘,37.5949480000,127.0761520000,한국철도공사,서울특별시 중랑구 중화동 321-37,02-436-7785,2017-05-12
0120,상봉역,k0212,경의중앙선,Sangbong,,환승역,k0212+k0210,경의중앙/경춘/7,37.5952540000,127.0858530000,한국철도공사,서울시 중랑구 망우로 297(상봉1동 100-9번지),02-432-7783,2017-05-12
0121,망우역,k0212,경의중앙선,Mangu,忘 憂,환승역,k0212+k0210,경의중앙/경춘,37.5992880000,127.0923180000,한국철도공사,서울시 중랑구 망우로 55길 11-10,02-432-7788,2017-05-12
0122,양원역,k0212,경의중앙선,Yangwon,養 源,일반역,,,36.9632090000,129.0911310000,한국철도공사,서울시 중랑구 송림길 147(망우동),02-435-7788,2017-05-12
0138,지평역,k0212,경의중앙선,jipyeong,,일반역,,,37.4764960000,127.6296810000,한국철도공사,경기도 양평군 지평면 지평역길 32,031-772-6006,2017-05-12
0123,구리역,k0212,경의중앙선,Guri,九 里,일반역,,,37.5031780000,126.8820370000,한국철도공사,경기도 구리시 건원대로 34번길 32-29(인창동 244-2),031-552-7784,2017-05-12
0124,도농역,k0212,경의중앙선,Donong,陶 農,일반역,,,37.6087560000,127.1611050000,한국철도공사,경기도 남양주시 경춘로 433(도농동 56-1),031-563-7788,2017-05-12
0125,양정역,k0212,경의중앙선,Yangjeong,養 正,일반역,,,37.6042690000,127.1946020000,한국철도공사,경기도 남양주시 경강로 237(이패동 398-32),031-559-7786,2017-05-12
0126,덕소역,k0212,경의중앙선,Deokso,德 沼,일반역,,,37.5868920000,127.2088350000,한국철도공사,경기도 남양주시 와부읍 덕서로 56(덕소리 590-17),031-577-7788,2017-05-12
0127,도심역,k0212,경의중앙선,Dosim,陶 深,일반역,,,37.5796280000,127.2227980000,한국철도공사,경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2),031-521-8675,2017-05-12
0128,팔당역,k0212,경의중앙선,Paldang,八 堂,일반역,,,37.5473210000,127.2438960000,한국철도공사,경기도 남양주시 와부읍 팔당로 107번길,031-576-2888,2017-05-12
0129,운길산역,k0212,경의중앙선,Ungilsan,蕓吉山,일반역,,,37.5546590000,127.3100890000,한국철도공사,경기도 남양주시 조안면 진중리 255-1,031-577-7196,2017-05-12
0130,양수역,k0212,경의중앙선,Yangsu,兩 水,일반역,,,37.5459980000,127.3289480000,한국철도공사,경기도 양평군 양서면 목왕로 55-10,031-772-6006,2017-05-12
0131,신원역,k0212,경의중앙선,Sinwon,新 院,일반역,,,37.5259210000,127.3727450000,한국철도공사,경기도 양평군 양서면 신원역길 5-3,031-771-7428,2017-05-12
0132,국수역,k0212,경의중앙선,Guksu,菊 秀,일반역,,,37.5161710000,127.3994020000,한국철도공사,경기도 양평군 양서면 국수역길 45,031-772-7578,2017-05-12
0133,아신역,k0212,경의중앙선,Asin,我 新,일반역,,,37.5139540000,127.4432380000,한국철도공사,경기도 양평군 옥천면 아신역길 1길 23-3,031-771-7523,2017-05-12
0134,오빈역,k0212,경의중앙선,Obin,梧濱,일반역,,,37.5060610000,127.4740530000,한국철도공사,경기도 양평군 양평읍 덕바위길 29번길,031-774-8873,2017-05-12
0135,양평역,k0212,경의중앙선,Yangpyeong,楊 平,일반역,,,37.4926740000,127.4918580000,한국철도공사,경기도 양평군 양평읍 양근리 137,031-774-6841,2017-05-12
0136,원덕역,k0212,경의중앙선,Wondeok,元 德,일반역,,,37.4685850000,127.5474680000,한국철도공사,경기도 양평군 양평읍 원덕흑천길 136,031-771-4196,2017-05-12
0137,용문역,k0212,경의중앙선,Yongmun,龍 門,일반역,,,37.4820850000,127.5942510000,한국철도공사,경기도 양평군 용문면 용문역길 18,031-773-7788,2017-05-12
0211,서울숲역,k0304,분당선,Seoul-forest,,일반역,,,37.5436470000,127.0446860000,한국철도공사,서울시 성동구 왕십리로 지하 77,02-519-5550,2017-05-12
0212,압구정로데오역,k0304,분당선,Apgujeongrodeo,,일반역,,,37.5273850000,127.0405550000,한국철도공사,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),02-3288-7744,2017-05-12
0213,강남구청역,k0304,분당선,Gangnam-gu Office,江南區廳,환승역,,분당/7,37.5171720000,127.0412750000,한국철도공사,서울시 강남구 학동로 지하 364,02-540-7755,2017-05-12
0214,선정릉역,k0304,분당선,Seonjeongneung,,환승역,,분당/9,37.5102750000,127.0438170000,한국철도공사,서울시 강남구 선릉로 지하 580(삼성동),02-545-7828,2017-05-12
0215,선릉역,k0304,분당선,Seolleung,宣 陵,환승역,,분당/2,37.5044790000,127.0489410000,한국철도공사,서울시 강남구 테헤란로 지하 340,02-568-7715,2017-05-12
0216,한티역,k0304,분당선,Hanti,-,일반역,,,37.4962080000,127.0528830000,한국철도공사,서울시 강남구 선릉로 지하 228,02-569-5704,2017-05-12
0217,도곡역,k0304,분당선,Dogok,道 谷,환승역,k0304+k0218,분당/3,37.4909140000,127.0553930000,한국철도공사,서울시 강남구 남부순환로 지하 2814,02-576-2706,2017-05-12
0218,구룡역,k0304,분당선,Guryong,九 龍,일반역,,,37.4869850000,127.0594960000,한국철도공사,서울시 강남구 개포동 175번지,02-579-7760,2017-05-12
0219,개포동역,k0304,분당선,Gaepo-dong,開 浦 洞,일반역,,,37.4891120000,127.0660270000,한국철도공사,서울시 강남구 개포동 지하 420(개포동),02-3412-4418,2017-05-12
0220,대모산입구역,k0304,분당선,Daemosan,大 母 山入 口,일반역,,,37.4913470000,127.0727020000,한국철도공사,서울시 강남구 일원동 611번지,02-3412-9471,2017-05-12
0221,수서역,k0304,분당선,Suseo,水 西,환승역,k0304+k0218,분당/3,37.4876330000,127.1011180000,한국철도공사,서울시 강남구 광평로 지하 270(수서동),02-2226-6881,2017-05-12
0222,복정역,k0304,분당선,Bokjeong,福 井,환승역,k0304+k0218,분당/8,37.4697530000,127.1266270000,한국철도공사,경기도 성남시 수정구 복정로 4,02-449-8264,2017-05-12
0223,가천대역,k0304,분당선,Gachon Univ.,,일반역,,,37.4487840000,127.1266770000,한국철도공사,경기도 성남시 수정구 태평1동 5113-9,031-752-7788,2017-05-12
0224,태평역,k0304,분당선,Taepyeong,太 平,일반역,,,37.4398420000,127.1277460000,한국철도공사,경기도 성남시 수정구 성남대로 지하 1229번지,031-751-7788,2017-05-12
0225,모란역,k0304,분당선,Moran,牡 丹,환승역,k0304+k0218,분당/8,37.4321240000,127.1290640000,한국철도공사,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575),031-721-4600,2017-05-12
0226,야탑역,k0304,분당선,Yatap,野 塔,일반역,,,37.4113200000,127.1286610000,한국철도공사,경기도 성남시 성남대로 지하 903(야탑동 688-1),031-703-3238,2017-05-12
0227,이매역,k0304,분당선,Imae,二 梅,환승역,k0304+k0218,분당/경강,37.3958460000,127.1282720000,한국철도공사,경기도 성남시 성남대로 지하 738,031-781-6483,2017-05-12
0228,서현역,k0304,분당선,Seohyeon,書 峴,일반역,,,37.3849310000,127.1232490000,한국철도공사,경기도 성남시 분당구 성남대로 지하 601,031-703-7788,2017-05-12
0229,수내역,k0304,분당선,Sunae,藪 內,일반역,,,37.3784350000,127.1142160000,한국철도공사,경기도 성남시 분당구 성남대로 지하 491(수내동),031-714-7788,2017-05-12
0230,정자역,k0304,분당선,Jeongja,亭 子,환승역,,분당/신분당,37.3660370000,127.1080910000,한국철도공사,경기도 성남시 분당구 성남대로 지하 333(정자동),031-712-7788,2017-05-12
0231,미금역,k0304,분당선,Migeum,美 金,일반역,,,37.3500780000,127.1089520000,한국철도공사,경기도 성남시 수정구 성남대로 지하 156,031-713-3235,2017-05-12
0232,오리역,k0304,분당선,Ori,梧 里,일반역,,,37.3398320000,127.1089850000,한국철도공사,경기도 성남시 분당구 성남대로 지하 55(구미동 795),031-711-7740,2017-05-12
0233,죽전역,k0304,분당선,Jukjeon,竹 田,일반역,,,37.3245750000,127.1073850000,한국철도공사,경기도 용인시 수지구 포은대로 536(죽전동 1014),031-896-9791,2017-05-12
0234,보정역,k0304,분당선,Bojeong,寶 亭,일반역,,,37.3127400000,127.1082190000,한국철도공사,경기도 용인시 수지구 포은대로 536(죽전동 1014),031-265-7736,2017-05-12
0235,구성역,k0304,분당선,Guseong,駒 城,일반역,,,37.2990130000,127.1056640000,한국철도공사,경기도 용인시 기흥구 용구대로 2403,031-274-4161,2017-05-12
0236,신갈역,k0304,분당선,Singal,新 葛,일반역,,,37.2861270000,127.1113110000,한국철도공사,경기도 용인시 기흥구 기흥로 136,031-274-3559,2017-05-12
0237,기흥역,k0304,분당선,Giheung,器 興,환승역,k0304+k0218,분당/경전철,37.2756570000,127.1159440000,한국철도공사,경기도 용인시 중부대로 460,031-275-7789,2017-05-12
0238,상갈역,k0304,분당선,Sanggal,上 葛,일반역,,,37.2617970000,127.1087180000,한국철도공사,경기도 용인시 기흥구 금화로 지하 40,031-274-2840,2017-05-12
0239,청명역,k0304,분당선,Cheongmyeong,淸 明,일반역,,,37.2594850000,127.0789450000,한국철도공사,경기도 수원시 영통구 봉영로 지하 1670,031-203-5250,2017-05-12
0240,영통역,k0304,분당선,Yeongtong,靈 通,일반역,,,37.2515210000,127.0713410000,한국철도공사,경기도 수원시 영통구 봉영로 지하 1560,031-203-1165,2017-05-12
0241,망포역,k0304,분당선,Mangpo,網 浦,일반역,,,37.2457930000,127.0573670000,한국철도공사,경기도 수원시 영통구 봉영로 지하 1520,031-203-7720,2017-05-12
0242,매탄권선역,k0304,분당선,Maetan Gwonseon,梅灘勸善,일반역,,,37.2524580000,127.0408240000,한국철도공사,경기도 수원시 권선구 권선동 1308번지,031-211-0226,2017-05-12
0243,수원시청역,k0304,분당선,Suwon City Hall,水原市廳,일반역,,,37.2619410000,127.0307360000,한국철도공사,경기도 수원시 권선구 권선동 1122,031-221-7768,2017-05-12
0244,매교역,k0304,분당선,Maegyo,梅橋,일반역,,,37.2655020000,127.0156570000,한국철도공사,경기도 수원시 팔달구 매교동 173-22,031-232-7785,2017-05-12
0122,신내역,k0210,경춘선,Sinnae,新 內,일반역,,,37.6128550000,127.1032770000,한국철도공사,서울시 중랑구 망우동 320,02-220-7789,2017-05-12
0123,갈매역,k0210,경춘선,Galmae,葛 梅,일반역,,,37.6341350000,127.1148030000,한국철도공사,경기도 구리시 갈매동 경춘북로 229(갈매동 502-18),031-572-8827,2017-05-12
0124,별내역,k0210,경춘선,Byeollae,別 內,일반역,,,37.6422210000,127.1272080000,한국철도공사,경기도 남양주시 별내동 182-5,031-579-4318,2017-05-12
0125,퇴계원역,k0210,경춘선,Toegyewon,退溪院,일반역,,,37.6483160000,127.1438580000,한국철도공사,경기도 남양주시 퇴계원면 경춘북로 545(퇴계원리 218-8),031-571-7788,2017-05-12
0126,사릉역,k0210,경춘선,Sareung,思 陵,일반역,,,37.6511450000,127.1768390000,한국철도공사,경기도 남양주시 진건읍 진건우회로 72-8(사능리 590-2),031-575-8862,2017-05-12
0127,금곡역,k0210,경춘선,Geumgok,金 谷,일반역,,,37.6374140000,127.2079310000,한국철도공사,경기도 남양주시 경춘로 903(금곡동 404-276),031-591-7109,2017-05-12
0128,평내호평역,k0210,경춘선,PyeongnaeHopyeong,坪內好坪,일반역,,,37.6532290000,127.2444520000,한국철도공사,경기도 남양주시 경춘로 1375(평내동 156),031-593-7788,2017-05-12
0129,천마산역,k0210,경춘선,Cheonmasan,天摩山,일반역,,,37.6589950000,127.2857310000,한국철도공사,경기도 남양주시 화도읍 묵현리 320-25,031-592-7798,2017-05-12
0130,마석역,k0210,경춘선,Maseok,磨 石,일반역,,,37.6523280000,127.3117130000,한국철도공사,경기도 남양주시 화도읍 마석중앙로 83-14(마석우리 222-2),031-593-7788,2017-05-12
0131,대성리역,k0210,경춘선,Daeseong-ri,大成里,일반역,,,37.6839090000,127.3791650000,한국철도공사,경기도 가평군 청평면 경춘로 88(대성리 393),031-584-0616,2017-05-12
0132,청평역,k0210,경춘선,Cheongpyeong,淸 平,일반역,,,37.7354840000,127.4265410000,한국철도공사,경기도 가평군 청평면 청평역로 97-33(청평리 125-1),031-584-0012,2017-05-12
0133,상천역,k0210,경춘선,Sangcheon,上 泉,일반역,,,37.7704050000,127.4542000000,한국철도공사,경기도 가평군 청평면 상천역로 29(상천리 1261),031-585-8874,2017-05-12
0134,가평역,k0210,경춘선,Gapyeong,加 平,일반역,,,37.8145150000,127.5106930000,한국철도공사,경기도 가평군 가평읍 문화로 13-42(달전리 567),031-581-2855,2017-05-12
0135,굴봉산역,k0210,경춘선,Gulbongsan,屈峰山,일반역,,,37.8320860000,127.5577320000,한국철도공사,강원도 춘천시 남산면 서백길 192(백양리 588-30),033-263-7878,2017-05-12
0136,백양리역,k0210,경춘선,Baegyang-ri,白楊里,일반역,,,37.8308810000,127.5890850000,한국철도공사,강원도 춘천시 남산면 북한강변길 690(강촌리 680-7),033-262-8827,2017-05-12
0137,강촌역,k0210,경춘선,Gangchon,江 村,일반역,,,37.8057280000,127.6340540000,한국철도공사,강원도 춘춘시 남산면 강촌로 150(방곡리 409),033-261-7897,2017-05-12
0138,김유정역,k0210,경춘선,Gimyujeong,金裕貞,일반역,,,37.8184750000,127.7143020000,한국철도공사,강원도 춘천시 신동면 김유정로 1435(신동면 증리 859-3),033-261-7780,2017-05-12
0139,남춘천역,k0210,경춘선,Namchuncheon,南春川,일반역,,,37.8640710000,127.7237610000,한국철도공사,강원도 춘천시 영서로 2260(퇴계동 633-2),033-257-7022,2017-05-12
0140,춘천역,k0210,경춘선,Chuncheon,春 川,일반역,,,37.8843910000,127.7166030000,한국철도공사,강원도 춘천시 평화로 1(근화동 190),033-241-7758,2017-05-12
0410,판교역,k0218,경강선,Pangyo,板橋,환승역,k0304+k0218,경강/신분당,37.3947980000,127.1111350000,한국철도공사,경기도 성남시 분당구 백현동 19-2,070-7821-5621,2017-05-12
0412,삼동역,k0218,경강선,Samdong,三洞,일반역,,,37.4087310000,127.2034470000,한국철도공사,경기도 광주시 중대동 304,070-7821-5640,2017-05-12
0413,경기광주역,k0218,경강선,GyeonggiGwangju,京畿廣州,일반역,,,37.3989740000,127.2532010000,한국철도공사,경기도 광주시 역동 176-13,070-7821-5653,2017-05-12
0414,초월역,k0218,경강선,Chowol,草月,일반역,,,37.3733890000,127.2999960000,한국철도공사,경기도 광주시 초월읍 쌍동리 213-15,070-7821-5660,2017-05-12
0415,곤지암역,k0218,경강선,Gonjiam,昆池岩,일반역,,,37.3505250000,127.3461860000,한국철도공사,경기도 광주시 곤지암읍 곤지암리 353-1,070-7821-5670,2017-05-12
0416,신둔도예촌역,k0218,경강선,Sindundoyechon,新屯陶藝村,일반역,,,37.3154990000,127.4052510000,한국철도공사,경기도 이천시 신둔면 남정리 375-4,070-7821-5680,2017-05-12
0155,수원역,k0201,경부선,Suwon,水 原,환승역,k0304+k0201,경부/분당,37.2661620000,126.9998210000,한국철도공사,경기도 수원시 팔달구 덕영대로 924,031-253-2724,2017-05-12
0156,세류역,k0201,경부선,Seryu,細 柳,일반역,,,37.2441020000,127.0137720000,한국철도공사,경기도 수원시 권선구 정조로 387,031-238-3089,2017-05-12
0157,병점역,k0201,경부선,Byeongjeom,餠 店,환승역,k0201+k0201,경부/서동탄,37.2068210000,127.0332680000,한국철도공사,경기도 화성시 떡전골로 97,031-234-7788,2017-05-12
0157,서동탄역,k0201,경부선,Seodongtan,西東灘,일반역,,,37.1956750000,127.0518930000,한국철도공사,경기도 오산시 외삼미로 15번길 75-60,031-613-9581,2017-05-12
0158,세마역,k0201,경부선,Sema,洗 馬,일반역,,,37.1872880000,127.0432790000,한국철도공사,경기도 오산시 세마역로 88,031-377-7166,2017-05-12
0159,오산대역,k0201,경부선,Osan College,烏山大,일반역,,,37.1694010000,127.0630810000,한국철도공사,경기도 오산시 청학로 236,031-375-9354,2017-05-12
0160,오산역,k0201,경부선,Osan,烏 山,일반역,,,37.1454720000,127.0667080000,한국철도공사,경기도 오산시 오산동 역광장로 59,031-374-7788,2017-05-12
0161,진위역,k0201,경부선,Jinwi,振 威,일반역,,,37.1097710000,127.0623420000,한국철도공사,경기도 평택시 경기대로 1855,031-667-7652,2017-05-12
0162,송탄역,k0201,경부선,Songtan,松 炭,일반역,,,37.0753760000,127.0543970000,한국철도공사,경기도 평택시 신장동 송탄공원로 43,031-666-7788,2017-05-12
0164,지제역,k0201,경부선,Jije,芝 制,일반역,,,37.01882200,127.0702690000,한국철도공사,경기도 평택시 경기대로 777,031-691-7651,2017-05-12
0163,서정리역,k0201,경부선,Seojeong-ri,西井里,일반역,,,37.0564590000,127.0528440000,한국철도공사,경기도 평택시 탄현로 51,031-662-7788,2017-05-12
0165,평택역,k0201,경부선,Pyeongtaek,平 澤,일반역,,,36.9905590000,127.0854960000,한국철도공사,경기도 평택시 평택로 51,031-652-0245,2017-05-12
0142,구일역,k0301,경인선,Guil,九 一,일반역,,,37.4962730000,126.8695990000,한국철도공사,서울시 구로구 구일로 133,02-865-6190,2017-05-12
0143,개봉역,k0301,경인선,Gaebong,開 峯,일반역,,,37.4946980000,126.8585040000,한국철도공사,서울시 구로구 경인로 40길 47,02-685-7788,2017-05-12
0144,오류동역,k0301,경인선,Oryu-dong,梧柳洞,일반역,,,37.4944000000,126.8445510000,한국철도공사,서울시 구로구 경인로 20길 13,02-2612-7788,2017-05-12
0145,온수역,k0301,경인선,Onsu,溫 水,환승역,,경인/7,37.4922670000,126.8233990000,한국철도공사,서울시 구로구 부일로 872,02-2639-3461,2017-05-12
0146,역곡역,k0301,경인선,Yeokgok,驛 谷,일반역,,,37.4851400000,126.8116220000,한국철도공사,경기도 부천시 원미구 역곡로 1(역곡동),02-2639-3434,2017-05-12
0147,소사역,k0301,경인선,Sosa,素 砂,일반역,,,37.4827550000,126.7956540000,한국철도공사,경기도 부천시 소사구 경인로 363,02-2639-3242,2017-05-12
0148,부천역,k0301,경인선,Bucheon,富 川,일반역,,,37.4840660000,126.7827790000,한국철도공사,경기도 부천시 소사구 부천로 1,032-665-7775,2017-05-12
0149,중동역,k0301,경인선,Jung-dong,中 洞,일반역,,,37.4866640000,126.7644740000,한국철도공사,경기도 부천시 소사구 중동로 73,032-666-7788,2017-05-12
0150,송내역,k0301,경인선,Songnae,松 內,일반역,,,37.4876260000,126.7530450000,한국철도공사,경기도 부천시 소사구 송내대로 43,032-662-7788,2017-05-12
0151,부개역,k0301,경인선,Bugae,富 開,일반역,,,37.4884790000,126.7405490000,한국철도공사,인천시 부평구 수변로 22,032-517-7788,2017-05-12
0152,부평역,k0301,경인선,Bupyeong,富 平,환승역,,경인/인천1,37.4894570000,126.7245840000,한국철도공사,인천시 부평구 광장로 16,032-528-1439,2017-05-12
0153,백운역,k0301,경인선,Baegun,白 雲,일반역,,,37.4833010000,126.7071790000,한국철도공사,인천시 부평구 마장로 55번길 14,032-524-7788,2017-05-12
0154,동암역,k0301,경인선,Dongam,銅 岩,일반역,,,37.4708350000,126.7030160000,한국철도공사,인천시 부평구 동암광장로 10,032-421-7788,2017-05-12
